"%1 automation trigger(s) saved.","%1 automaatika päästik(ut) salvestatud."
"%1 event(s) queued for retry.","%1 sündmus(t) pandi uuesti proovimiseks järjekorda."
"%1 events failed in the last 24 hours","Viimase 24 tunni jooksul ebaõnnestus %1 sündmust"
"%1 failed delivery(ies) in the last 24 hours.","%1 ebaõnnestunud saatmist viimase 24 tunni jooksul."
"%1 of %2","%1 / %2"
"%1 Your saved automations are unchanged.","%1 Sinu salvestatud automaatikad jäävad muutmata."
"(the feed group opens automatically).","(voo grupp avaneb automaatselt)."
"-- Not Selected --","-- Valimata --"
"1. Connect","1. Ühenda"
"2. Subscribers","2. Tellijad"
"3. Automations","3. Automaatikad"
"4. Intelligence","4. Intelligence"
"5. Done","5. Valmis"
"A ""%1"" import to %2 is already running for website %3.","„%1“ import sihtkohta %2 juba käib veebisaidil %3."
"A delivery attempt is in progress right now.","Saatmiskatse on praegu pooleli."
"A major upgrade can bring new features and changed screens. Review the settings under Marketing > Smaily Connect > Settings, or re-run the setup wizard — your saved configuration is untouched either way.","Suur versiooniuuendus võib tuua uusi võimalusi ja muutunud vaateid. Vaata seadistused üle menüüs Turundus > Smaily Connect > Seaded või käivita seadistusviisard uuesti — sinu salvestatud seadistus jääb mõlemal juhul puutumata."
"A password is already saved — leave this empty to keep it.","Parool on juba salvestatud — jäta väli tühjaks, et seda alles hoida."
"A product feed for the RSS block of the Smaily template editor. Optional query parameters filter by category and control the amount and order of products.","Tootevoog Smaily mallieditori RSS-ploki jaoks. Valikuliste URL-i parameetritega saab filtreerida kategooria järgi ning määrata toodete arvu ja järjestuse."
"A single Smaily account, but each language triggers its own automation workflow. The most common setup.","Üks Smaily konto, kuid iga keel käivitab oma automaatika töövoo. Kõige levinum seadistus."
"A single workflow that branches on the contact's language inside Smaily. The language is sent with every contact.","Üks töövoog, mis hargneb Smaily sees kontakti keele järgi. Keel saadetakse kaasa iga kontaktiga."
"Abandoned cart","Hüljatud ostukorv"
"Abandoned Cart Cutoff (Minutes)","Hüljatud ostukorvi ooteaeg (minutites)"
"Abandoned Cart Product Fields","Hüljatud ostukorvi tooteväljad"
"Abandoned Cart Workflow","Hüljatud ostukorvi töövoog"
"Abandoned cart — fires when a cart is left behind","Hüljatud ostukorv — käivitub, kui ostukorv jäetakse maha"
"Actions","Tegevused"
"Active","Aktiivne"
"Adds a newsletter opt-in checkbox to the checkout payment step. Works for both guests and registered customers.","Lisab kassa maksesammule uudiskirja tellimise märkeruudu. Töötab nii külaliste kui ka registreeritud klientide puhul."
"advanced fields and per-website or per-store-view overrides","täpsemad väljad ning veebisaidi- või poevaatepõhised erandid"
"Advanced RSS options in Stores > Configuration","RSS-i lisavalikud: Poed > Konfiguratsioon"
"All %1 automatic attempts are used up — this row will NOT retry on its own. Select it in the log and press Retry to queue it again.","Kõik %1 automaatset katset on ära kasutatud — see rida EI proovi enam ise uuesti. Vali rida logis ja vajuta Proovi uuesti, et see uuesti järjekorda panna."
"All customers (legitimate interest)","Kõik kliendid (õigustatud huvi)"
"All languages share one Smaily account; each language fires its own workflow from the list.","Kõik keeled jagavad üht Smaily kontot; iga keel käivitab nimekirjast oma töövoo."
"All products","Kõik tooted"
"All systems normal","Kõik toimib normaalselt"
"Allow personalized recommendations","Luba personaalsed soovitused"
"Also sync emails from guest orders (always on in checkout opt-in mode).","Sünkrooni ka külalistellimuste e-posti aadressid (kassanõusoleku režiimis alati sees)."
"API Connection","API ühendus"
"API password","API parool"
"API username","API kasutajanimi"
"as ""%1""","kontoga ""%1"""
"Ascending","Kasvav"
"Attempts","Katsed"
"Attention","Tähelepanu"
"Automations","Automaatikad"
"Automations May Re-Subscribe (Advanced)","Automaatikad võivad uuesti tellijaks määrata (täpsem)"
"Back","Tagasi"
"Browse tracking","Sirvimise jälgimine"
"Campaign Intelligence","Campaign Intelligence"
"Campaign Intelligence (optional)","Campaign Intelligence (valikuline)"
"Campaign Intelligence Automations","Campaign Intelligence'i automaatikad"
"Campaign Intelligence connected: %1 (engine %2).","Campaign Intelligence ühendatud: %1 (mootor %2)."
"Campaign Intelligence is not connected","Campaign Intelligence ei ole ühendatud"
"Campaign Intelligence is not connected.","Campaign Intelligence ei ole ühendatud."
"Campaign Intelligence setup failed: %1","Campaign Intelligence'i seadistamine ebaõnnestus: %1"
"Cancel import","Katkesta import"
"Cancelled — %1 of %2 synced. Starting again begins a fresh import.","Katkestatud — %1 / %2 sünkroonitud. Uuesti alustamine käivitab värske impordi."
"Cancelling…","Katkestamine…"
"Catalog items","Kataloogitooted"
"Catalog items delivered (30 days)","Kohale toimetatud kataloogikirjed (30 päeva)"
"Catalog, customer and order sync started automatically. Historical data can be imported any time under Marketing > Smaily Connect > Settings > Intelligence.","Kataloogi, klientide ja tellimuste sünkroonimine käivitus automaatselt. Ajaloolisi andmeid saab igal ajal importida menüüs Turundus > Smaily Connect > Seaded > Intelligence."
"Category ID (optional)","Kategooria ID (valikuline)"
"Checkout opt-in only","Ainult kassas antud nõusolek"
"Clear this override so the value saved here takes effect? You can set it again for that website or store view later.","Kas eemaldada see alistus, et siin salvestatud väärtus jõustuks? Saad selle hiljem uuesti sellele veebisaidile või vaatele määrata."
"Clearing…","Eemaldan…"
"Connect","Ühenda"
"Connect Smaily to set up automations","Automaatikate seadistamiseks ühenda Smaily"
"Connect your Smaily account","Ühenda oma Smaily konto"
"Connect your Smaily account. You can find API credentials in Smaily under Preferences > API. Credentials can be overridden per website, or per store view for per-language Smaily accounts.","Ühenda oma Smaily konto. API kasutajaandmed leiad Smailyst menüüst Preferences > API. Kasutajaandmeid saab üle kirjutada veebisaidi kaupa või keelepõhiste Smaily kontode jaoks poevaate kaupa."
"Connected","Ühendatud"
"Connected (%1)","Ühendatud (%1)"
"Connected with the saved credentials.","Ühendatud salvestatud kasutajaandmetega."
"Connected!","Ühendatud!"
"Connected! Continue to the next step.","Ühendatud! Jätka järgmise sammuga."
"Connected! The workflow dropdowns below are now up to date.","Ühendatud! Allolevad töövoovalikud on nüüd ajakohased."
"Connected, currently unreachable","Ühendatud, hetkel kättesaamatu"
"Connected: %1 (engine %2)","Ühendatud: %1 (mootor %2)"
"Connecting…","Ühendan…"
"Connection","Ühendus"
"Connection failed.","Ühendus ebaõnnestus."
"Connection Status","Ühenduse olek"
"connection, subscribers, automations, Intelligence and RSS in one tabbed page","ühendus, tellijad, automaatikad, Intelligence ja RSS ühel vahekaartidega lehel"
"Contact Sync Mode","Kontaktide sünkroonimise režiim"
"Contact syncs","Kontaktide sünkroonimised"
"Contact syncs delivered (30 days)","Kohale toimetatud kontaktisünkroonimised (30 päeva)"
"Continue","Jätka"
"Cooldown (days)","Puhkeaeg (päevades)"
"Copied to the clipboard.","Kopeeritud lõikelauale."
"Copy","Kopeeri"
"Copying failed — select the URL and copy it manually.","Kopeerimine ebaõnnestus — märgista URL ja kopeeri käsitsi."
"Could not clear the override.","Alistust ei õnnestunud eemaldada."
"Could not connect to Campaign Intelligence: %1","Campaign Intelligence'iga ei õnnestunud ühendust luua: %1"
"Could not load the automation catalog","Automaatikate kataloogi ei õnnestunud laadida"
"Could not load the automation catalog: %1","Automaatikakataloogi laadimine ebaõnnestus: %1"
"Could not load the workflow list: %1","Töövoogude loendi laadimine ebaõnnestus: %1"
"Could not reach Campaign Intelligence: %1","Campaign Intelligence'iga ei saadud ühendust: %1"
"Could not reach Smaily: %1","Smailyga ei saadud ühendust: %1"
"Created","Loodud"
"Credentials missing or invalid","Mandaat puudub või on vale"
"Currently unreachable","Hetkel kättesaamatu"
"Customer group","Kliendigrupp"
"Customer Group","Kliendigrupp"
"Customer ID","Kliendi ID"
"Daily Cap","Päevalimiit"
"Dashboard","Töölaud"
"Date created","Loomise kuupäev"
"Date of birth","Sünnikuupäev"
"Date of Birth","Sünnikuupäev"
"Date updated","Muutmise kuupäev"
"Debug (full API requests and responses)","Silumine (täielikud API päringud ja vastused)"
"Default fallback","Vaikimisi varuvalik"
"Default fallback account","Vaikimisi varukonto"
"Delivered — no retries needed.","Kohale toimetatud — kordusi pole vaja."
"delivered, last 30 days","edastatud, viimased 30 päeva"
"Delivery details","Saatmise üksikasjad"
"Descending","Kahanev"
"Details","Üksikasjad"
"Disabled","Väljas"
"Disconnect via CLI: bin/magento smaily:engine:disconnect","Ühenduse katkestamine käsurealt: bin/magento smaily:engine:disconnect"
"Done, %1 of %2 synced — %3 failed.","Valmis, %1 / %2 sünkroonitud — %3 ebaõnnestus."
"Done, %1 of %2 synced.","Valmis, %1 / %2 sünkroonitud."
"Each event triggers the Smaily automation workflow you pick. The lists below come live from your Smaily account — create the workflows there first if they are missing, then press Refresh.","Iga sündmus käivitab sinu valitud Smaily automaatika töövoo. Allolevad loendid tulevad otse sinu Smaily kontolt — kui töövood puuduvad, loo need esmalt Smailys ja vajuta siis „Värskenda töövooge“."
"Each language has its own Smaily account (subdomain and credentials) with its own subscriber list.","Igal keelel on oma Smaily konto (alamdomeen ja kasutajaandmed) koos oma tellijate nimekirjaga."
"Each language row lists the workflows of that language's own Smaily account (Connection panel) and fires through it.","Iga keelerida näitab selle keele oma Smaily konto (ühenduse paneel) töövooge ja käivitub selle konto kaudu."
"Empty values are never sent, so existing Smaily data is not wiped.","Tühje väärtusi ei saadeta kunagi, seega olemasolevaid Smaily andmeid ei kustutata."
"Enable Abandoned Cart Automation","Luba hüljatud ostukorvi automaatika"
"Enable First Order Automation","Luba esimese tellimuse automaatika"
"Enable RSS Feed","Luba RSS-voog"
"Enable storefront browse tracking (product views, searches, cart activity)","Luba poe sirvimise jälgimine (tootevaatamised, otsingud, ostukorvitegevus)"
"Enable Subscriber Synchronization","Luba tellijate sünkroonimine"
"Enable subscriber synchronization","Luba tellijate sünkroonimine"
"Enable the product RSS feed","Luba toodete RSS-voog"
"Enable Welcome Automation","Luba tervituse automaatika"
"Enabled","Lubatud"
"Engine endpoint ""%1"" is not available","Mootori lõpp-punkt „%1“ ei ole saadaval"
"Engine request failed with HTTP %1 after retries","Mootori päring ebaõnnestus (HTTP %1) ka pärast korduskatseid"
"Engine request failed with HTTP %1: %2","Mootori päring ebaõnnestus (HTTP %1): %2"
"Engine request failed: %1","Mootori päring ebaõnnestus: %1"
"Engine returned a malformed response body","Mootor tagastas vigase vastuse"
"Enter the password for this account first.","Sisesta kõigepealt selle konto parool."
"Enter the password of the %1 account so it can take over as the default fallback.","Sisesta %1 konto parool, et see saaks vaikimisi varukonto rolli üle võtta."
"Enter the password of the %1 account.","Sisesta %1 konto parool."
"Entity","Kirje"
"Errors only","Ainult vead"
"Events queued today","Täna järjekorda pandud sündmused"
"events waiting to send","saatmist ootavad sündmused"
"Every delivery lands here: subscriber syncs and automation triggers to Smaily, plus catalog, customer, order and browse data to Campaign Intelligence — the Source column tells them apart. Failed rows retry automatically with backoff for up to 5 attempts; anything still failed can be selected and retried manually. Sent rows are kept for 30 days, failed rows for 90. If something seems missing in Smaily, this is the first place to look.","Iga saadetis jõuab siia: tellijate sünkroonimised ja automaatikate käivitused Smailysse ning kataloogi-, kliendi-, tellimuse- ja sirvimisandmed Campaign Intelligence'i — veerg Allikas eristab neid. Ebaõnnestunud read proovivad automaatselt uuesti kasvava ooteajaga kuni 5 katset; kõik, mis ikka veel ebaõnnestunud, saab valida ja käsitsi uuesti proovida. Saadetud ridu hoitakse 30 päeva, ebaõnnestunuid 90. Kui midagi paistab Smailys puudu olevat, vaata kõigepealt siia."
"every delivery to Smaily and Campaign Intelligence with retry; check here first if something seems off","iga saadetis Smailysse ja Campaign Intelligence'i koos uuesti proovimisega; kui miski tundub paigast ära, vaata kõigepealt siia"
"every delivery with retry for failed rows","iga saadetis koos ebaõnnestunud ridade uuesti proovimisega"
"Every registered customer is synced; Smaily manages suppression. Make sure your privacy policy covers this basis.","Sünkroonitakse iga registreeritud klient; loobumisi haldab Smaily. Veendu, et sinu privaatsuspoliitika seda alust katab."
"every setting from this wizard as always-available tabs, including the historical imports and the RSS feed URL builder","kõik selle viisardi seaded alati kättesaadavate vahekaartidena, sealhulgas ajaloolised impordid ja RSS-voo URL-i koostaja"
"Everything is running — deliveries to Smaily are flowing normally.","Kõik töötab — saadetised Smailysse liiguvad tavapäraselt."
"Extra fields to sync with each contact","Lisaväljad, mis sünkroonitakse iga kontaktiga"
"Failed","Ebaõnnestunud"
"Failed deliveries (24 hours)","Ebaõnnestunud saadetised (24 tundi)"
"Feed URL Builder","Voo URL-i koostaja"
"Fill in the credentials and press Test connection first.","Täida esmalt kasutajaandmed ja vajuta „Testi ühendust“."
"Fill in the subdomain and username first.","Täida esmalt alamdomeen ja kasutajanimi."
"Fill in the subdomain and username of the %1 account.","Täida %1 konto alamdomeen ja kasutajanimi."
"Finish","Lõpeta"
"First name","Eesnimi"
"First Name","Eesnimi"
"First order","Esimene tellimus"
"First Order Workflow","Esimese tellimuse töövoog"
"First order — fires on a customer's first purchase","Esimene tellimus — käivitub kliendi esimesel ostul"
"Gender","Sugu"
"Historical imports to Campaign Intelligence","Ajaloolised impordid Campaign Intelligence'i"
"How automation workflows are routed for multi-language stores. Single: one language. Per-language accounts: each store view has its own Smaily account (override credentials at store view scope). Per-language workflows: one account, a workflow per language. Single workflow: one workflow that branches by language inside Smaily.","Kuidas suunatakse automaatika töövooge mitmekeelsetes poodides. Üks keel: üks keel. Keelepõhised kontod: igal poevaatel on oma Smaily konto (kirjuta kasutajaandmed üle poevaate tasemel). Keelepõhised töövood: üks konto, iga keele jaoks oma töövoog. Üks töövoog: üks töövoog, mis hargneb keele järgi Smaily sees."
"How is Smaily organised for your store languages?","Kuidas on Smaily sinu poe keelte jaoks korraldatud?"
"How long a cart must be inactive before it counts as abandoned. Minimum 10 minutes. Carts older than 24 hours are never mailed.","Kui kaua peab ostukorv olema puutumata, enne kui see loetakse hüljatuks. Vähemalt 10 minutit. Üle 24 tunni vanustele ostukorvidele kirju ei saadeta."
"If your Smaily URL is https://demo.sendsmaily.net, the subdomain is ""demo"". Pasting the full URL also works.","Kui sinu Smaily URL on https://demo.sendsmaily.net, on alamdomeen „demo“. Sobib ka täieliku URL-i kleepimine."
"Import catalog","Impordi kataloog"
"Import customers","Impordi kliendid"
"Import orders","Impordi tellimused"
"Import subscribers to Smaily","Impordi tellijad Smailysse"
"Import your existing subscribers","Impordi oma olemasolevad tellijad"
"Importing… %1 / %2","Impordin… %1 / %2"
"Include Guest Order Emails","Kaasa külalistellimuste e-posti aadressid"
"Info","Info"
"Intelligence","Intelligence"
"Intelligence Automations","Intelligence'i automaatikad"
"Invalid language or account key in the workflow mapping.","Töövoovastenduses on vigane keel või kontovõti."
"Invalid override scope.","Vigane alistuse ulatus."
"Language","Keel"
"last 24 hours","viimased 24 tundi"
"Last Error","Viimane viga"
"Last error","Viimane viga"
"Last Name","Perekonnanimi"
"Last name","Perekonnanimi"
"Last response","Viimane vastus"
"Lawful-basis preset. Subscribers only (default): sync only opted-in newsletter subscribers and mirror Smaily unsubscribes back. All customers (legitimate interest): sync every registered customer; Smaily manages suppression. Checkout opt-in only: no account sync, only customers who tick the checkout checkbox.","Õigusliku aluse eelseadistus. Ainult tellijad (vaikimisi): sünkroonitakse ainult nõusoleku andnud uudiskirja tellijad ja Smaily loobumised peegeldatakse tagasi. Kõik kliendid (õigustatud huvi): sünkroonitakse iga registreeritud klient; loobumisi haldab Smaily. Ainult kassas antud nõusolek: kontosid ei sünkroonita, saadetakse ainult kliendid, kes märgivad kassas märkeruudu."
